Sentence,Entity,Output
My current Quetta is Quetta,Location,Quetta
I'm in the mood for Vegan,Cuisine,Vegan
Asian is my favorite,Cuisine,Asian
I have 569 to spend,Money,569
My current Miskolc is Miskolc,Location,Miskolc
My favorite is Healthy Food,Cuisine,Healthy Food
I'm in Yunlin County,Location,Yunlin County
Nibong Tebal is my place,Location,Nibong Tebal
I'm willing to pay 476,Money,476
From Cyberjaya here,Location,Cyberjaya
ອາຫານຫວ່າງ is my favorite,Cuisine,ອາຫານຫວ່າງ
ກະແລັມ is my favorite,Cuisine,ກະແລັມ
I'm in the mood for ကျန်းမာရေးနှင့်ညီညွတ်သော အစားအစာများ,Cuisine,ကျန်းမာရေးနှင့်ညီညွတ်သော အစားအစာများ
Let's go for စင်ကာပူအစားအစာ,Cuisine,စင်ကာပူအစားအစာ
My location is Keelung City,Location,Keelung City
Taungoo is where I live,Location,Taungoo
I'm comfortable spending 557,Money,557
I'm located in Khon Kaen,Location,Khon Kaen
Buriram is where I reside,Location,Buriram
Satun is my current Satun,Location,Satun
I have 652 to spend,Money,652
Kaohsiung City is my location,Location,Kaohsiung City
My favorite is Healthy Food,Cuisine,Healthy Food
I have around 337 for the meal,Money,337
Living in Chon Buri,Location,Chon Buri
My budget is 27,Money,27
My favorite is Mexican,Cuisine,Mexican
My home Kalaw is Kalaw,Location,Kalaw
I'm looking for something within 951,Money,951
My home Sialkot is Sialkot,Location,Sialkot
How about Kuih,Cuisine,Kuih
I'm in the mood for Poke Bowl,Cuisine,Poke Bowl
Let's go for Malaysian,Cuisine,Malaysian
From Temerloh here,Location,Temerloh
I live in Szentendre,Location,Szentendre
I'm interested in Beijing,Cuisine,Beijing
I want to spend around 866,Money,866
My budget is 527,Money,527
I want to spend around 316,Money,316
My current Pattani is Pattani,Location,Pattani
I can spend up to 520,Money,520
I'm interested in ຍີ່ປຸ່ນ,Cuisine,ຍີ່ປຸ່ນ
I'm interested in Česká,Cuisine,Česká
Xayaboury is my current location,Location,Xayaboury
I'm ready to spend 465,Money,465
I'm looking for something within 241,Money,241
I have 532 to spend,Money,532
I'm ready to spend 693,Money,693
Barguna is where I live,Location,Barguna
I would like Laksa cuisine,Cuisine,Laksa
Currently in Bahawalpur,Location,Bahawalpur
I have around 939 for the meal,Money,939
I'm in Johor Bahru,Location,Johor Bahru
Currently in Nakhon Si Thammarat,Location,Nakhon Si Thammarat
I have around 23 for the meal,Money,23
I'm in the mood for Török,Cuisine,Török
My home Roi Et is Roi Et,Location,Roi Et
My home Noakhali is Noakhali,Location,Noakhali
In Phatthalung right now,Location,Phatthalung
My location is Taung Gyi,Location,Taung Gyi
My budget is 456,Money,456
I'm interested in Healthy Food,Cuisine,Healthy Food
I can afford 453,Money,453
My current Banteay Meanchey is Banteay Meanchey,Location,Banteay Meanchey
I can spend up to 90,Money,90
I can spend up to 16,Money,16
I'm interested in Bubble Tea,Cuisine,Bubble Tea
I'm in Klang,Location,Klang
I'm comfortable spending 936,Money,936
I'm comfortable spending 163,Money,163
I am currently living in Cyberjaya,Location,Cyberjaya
Silog is my favorite,Cuisine,Silog
My favorite is Mee Goreng,Cuisine,Mee Goreng
I reside in Kajang,Location,Kajang
I can afford 373,Money,373
I live in Kishoreganj,Location,Kishoreganj
Nakhon Pathom is where I live,Location,Nakhon Pathom
I have around 659 for the meal,Money,659
In Lopburi right now,Location,Lopburi
I'm looking for Northern Thai,Cuisine,Northern Thai
I'm in Sahiwal,Location,Sahiwal
Penghu County is my place,Location,Penghu County
I'm ready to spend 742,Money,742
Southern Thai is my favorite,Cuisine,Southern Thai
My current Klang is Klang,Location,Klang
I'm looking for something within 977,Money,977
I have 298 to spend,Money,298
I would like Fast food cuisine,Cuisine,Fast food
I'm looking for something within 120,Money,120
Living in Buriram,Location,Buriram
Let's go for 東南亞,Cuisine,東南亞
I love Stredomorská food,Cuisine,Stredomorská
Brahmanbaria is my current Brahmanbaria,Location,Brahmanbaria
I'm willing to pay 935,Money,935
Sukkur is my location,Location,Sukkur
I'm interested in 飲料,Cuisine,飲料
I'm interested in Western,Cuisine,Western
I'm in Prievidza,Location,Prievidza
I live in Nové Zámky,Location,Nové Zámky
My favorite is Ayam Penyet,Cuisine,Ayam Penyet
My current Kuching is Kuching,Location,Kuching
I enjoy ອາຫານຈີນ,Cuisine,ອາຫານຈີນ
My budget is 296,Money,296
I can spend up to 980,Money,980
My budget is 408,Money,408
I'm in Manikganj,Location,Manikganj
I'm willing to pay 566,Money,566
I'm comfortable spending 161,Money,161
My favorite is Curry,Cuisine,Curry
I'm looking for something within 724,Money,724
I'm looking for Bowl,Cuisine,Bowl
I want to spend around 982,Money,982
I'm in the mood for Egészséges ételek,Cuisine,Egészséges ételek
I enjoy Európska,Cuisine,Európska
Yilan County is where I reside,Location,Yilan County
Changhua County is my current Changhua County,Location,Changhua County
Hailing from Kampong Cham,Location,Kampong Cham
My favorite is Indická,Cuisine,Indická
I'm in the mood for ထိုင်းအစားအစာ,Cuisine,ထိုင်းအစားအစာ
I have 587 to spend,Money,587
I'm craving Milk Tea,Cuisine,Milk Tea
Let's go for 飲料,Cuisine,飲料
I have 395 to spend,Money,395
I'm craving Francia,Cuisine,Francia
Quetta is my current location,Location,Quetta
My budget is 23,Money,23
I can spend up to 179,Money,179
Spanyol is my favorite,Cuisine,Spanyol
My favorite is Asian,Cuisine,Asian
I'm ready to spend 150,Money,150
ຊູຊິ is my favorite,Cuisine,ຊູຊິ
I'm craving ဖက်ထုပ်,Cuisine,ဖက်ထုပ်
In Chiang Mai right now,Location,Chiang Mai
I'm looking for Magyaros,Cuisine,Magyaros
Muallim is where I live,Location,Muallim
I'm looking for something within 91,Money,91
I'm comfortable spending 998,Money,998
I reside in Bratislava,Location,Bratislava
My location is Bhola,Location,Bhola
I'm located in Cyberjaya,Location,Cyberjaya
I love Rice Dishes food,Cuisine,Rice Dishes
How about ອາຫານຫວ່າງ,Cuisine,ອາຫານຫວ່າງ
I'm comfortable spending 130,Money,130
Samut Sakhon is my place,Location,Samut Sakhon
Phrae is my place,Location,Phrae
I reside in Chiang Rai,Location,Chiang Rai
I'm interested in Pares,Cuisine,Pares
I'm craving Fast food,Cuisine,Fast food
Chanthaburi is my place,Location,Chanthaburi
I can spend up to 266,Money,266
I can spend up to 584,Money,584
I have around 356 for the meal,Money,356
I'm comfortable spending 500,Money,500
My current Kuala Lumpur is Kuala Lumpur,Location,Kuala Lumpur
I can spend up to 200,Money,200
I'm interested in Rice Dishes,Cuisine,Rice Dishes
I'm comfortable spending 177,Money,177
I'm located in Cyberjaya,Location,Cyberjaya
I'm interested in ອິນເດຍ,Cuisine,ອິນເດຍ
Currently in Yunlin County,Location,Yunlin County
I enjoy Szerb,Cuisine,Szerb
I can afford 913,Money,913
I can spend up to 687,Money,687
I want to try အသင့်စားအစားအစာ,Cuisine,အသင့်စားအစားအစာ
I'm in Chuadanga,Location,Chuadanga
I can afford 35,Money,35
In Krabi right now,Location,Krabi
I love Egészséges ételek food,Cuisine,Egészséges ételek
I'm located in Alor Setar,Location,Alor Setar
Living in Pasay City,Location,Pasay City
I have around 116 for the meal,Money,116
Phuket is where I live,Location,Phuket
I have 829 to spend,Money,829
Lahore is where I live,Location,Lahore
Chai Nat is my current location,Location,Chai Nat
I would like BBQ cuisine,Cuisine,BBQ
I would like 台式 cuisine,Cuisine,台式
I can afford 704,Money,704
From Aungpan here,Location,Aungpan
I'm ready to spend 138,Money,138
Bago is my current Bago,Location,Bago
I'm interested in Roti Canai,Cuisine,Roti Canai
I want to spend around 44,Money,44
I want to try Česká,Cuisine,Česká
I want to spend around 402,Money,402
My home Bratislava is Bratislava,Location,Bratislava
My favorite is Ulam,Cuisine,Ulam
I'm located in Nakhon Pathom,Location,Nakhon Pathom
I would like Cart Noodles cuisine,Cuisine,Cart Noodles
I enjoy အနောက်တိုင်းအစားအစာ,Cuisine,အနောက်တိုင်းအစားအစာ
I want to spend around 973,Money,973
From Svay Rieng here,Location,Svay Rieng
Segamat is where I reside,Location,Segamat
I'm willing to pay 689,Money,689
I love ဒင်ဆမ်း food,Cuisine,ဒင်ဆမ်း
I want to spend around 460,Money,460
I'm looking for ထိုင်းအစားအစာ,Cuisine,ထိုင်းအစားအစာ
I love Dim Sum food,Cuisine,Dim Sum
Pabna is where I reside,Location,Pabna
I'm interested in Shawarma,Cuisine,Shawarma
I want to spend around 608,Money,608
My location is Kangar,Location,Kangar
I'm looking for Lechon,Cuisine,Lechon
I'm in the mood for Silog,Cuisine,Silog
My budget is 620,Money,620
Quetta is where I reside,Location,Quetta
My location is Ormoc Leyte,Location,Ormoc Leyte
I'm craving Leves,Cuisine,Leves
I'm comfortable spending 860,Money,860
Yangon is my current location,Location,Yangon
My favorite is Francia,Cuisine,Francia
I enjoy Mexikói,Cuisine,Mexikói
My current Krabi is Krabi,Location,Krabi
I have around 924 for the meal,Money,924
My current Multan is Multan,Location,Multan
I want to spend around 689,Money,689
I'm in the mood for Pares,Cuisine,Pares
Living in Penghu County,Location,Penghu County
In Alor Setar right now,Location,Alor Setar
In Moulvibazar right now,Location,Moulvibazar
I can afford 489,Money,489
I want to try Beverages,Cuisine,Beverages
I'm comfortable spending 183,Money,183
ເຄັກ is my favorite,Cuisine,ເຄັກ
I'm looking for ລາວ,Cuisine,ລາວ
I would like Japonská cuisine,Cuisine,Japonská
My budget is 783,Money,783
I reside in Tangail,Location,Tangail
In Samut Songkhram right now,Location,Samut Songkhram
I'm in the mood for Indian,Cuisine,Indian
I'm ready to spend 572,Money,572
Sing Buri is my current Sing Buri,Location,Sing Buri
I'm ready to spend 793,Money,793
I'm in Barisal,Location,Barisal
I can spend up to 922,Money,922
Puchong is where I live,Location,Puchong
I want to spend around 537,Money,537
I enjoy Nasi Kerabu,Cuisine,Nasi Kerabu
I am currently living in Banteay Meanchey,Location,Banteay Meanchey
I'm in the mood for Cambodian,Cuisine,Cambodian
Let's go for Turkish,Cuisine,Turkish
I'm interested in HK Dessert,Cuisine,HK Dessert
My favorite is Siu Mei,Cuisine,Siu Mei
I'm in Bahawalpur,Location,Bahawalpur
I'm interested in ອາຫານທະເລ,Cuisine,ອາຫານທະເລ
I'm craving Libanoni,Cuisine,Libanoni
Let's go for Dezerty,Cuisine,Dezerty
How about Healthy,Cuisine,Healthy
Pingtung County is my current Pingtung County,Location,Pingtung County
I'm looking for something within 499,Money,499
Lapu-Lapu City Cebu is where I reside,Location,Lapu-Lapu City Cebu
Monywa is my location,Location,Monywa
I enjoy Pulao,Cuisine,Pulao
ເຢຍລະມັນ is my favorite,Cuisine,ເຢຍລະມັນ
I'm looking for something within 170,Money,170
I have around 677 for the meal,Money,677
I have around 850 for the meal,Money,850
I'm comfortable spending 904,Money,904
I have 938 to spend,Money,938
My current Lamphun is Lamphun,Location,Lamphun
I enjoy Noodles,Cuisine,Noodles
I can afford 311,Money,311
From Faridpur here,Location,Faridpur
Savannakhet is where I reside,Location,Savannakhet
Nong Khai is my place,Location,Nong Khai
My favorite is Magyaros,Cuisine,Magyaros
I'm craving Cambodian,Cuisine,Cambodian
Let's go for Porridge,Cuisine,Porridge
I'm in Mae Hong Son,Location,Mae Hong Son
Currently in Nibong Tebal,Location,Nibong Tebal
Sialkot is my current location,Location,Sialkot
I have around 769 for the meal,Money,769
I'm looking for something within 587,Money,587
My current Multan is Multan,Location,Multan
Jessore is my place,Location,Jessore
I want to try Česká,Cuisine,Česká
From Mae Hong Son here,Location,Mae Hong Son
I'm interested in Cakes & Bakery,Cuisine,Cakes & Bakery
I'm looking for something within 311,Money,311
My home Cebu City Cebu is Cebu City Cebu,Location,Cebu City Cebu
Currently in Jhenaidah,Location,Jhenaidah
I'm looking for something within 685,Money,685
I'm looking for something within 270,Money,270
I'm in the mood for အာရှ,Cuisine,အာရှ
I enjoy Török,Cuisine,Török
I am currently living in Phetchabun,Location,Phetchabun
I have around 655 for the meal,Money,655
My home Bogra is Bogra,Location,Bogra
My budget is 990,Money,990
I can afford 673,Money,673
I'm ready to spend 765,Money,765
I enjoy Vegetarian,Cuisine,Vegetarian
I'm comfortable spending 767,Money,767
I'm interested in ຕາເວັນຕົກ,Cuisine,ຕາເວັນຕົກ
I want to try Saláta,Cuisine,Saláta
I have 309 to spend,Money,309
Hailing from Tainan City,Location,Tainan City
I'm looking for something within 457,Money,457
I can spend up to 344,Money,344
From Nong Khai here,Location,Nong Khai
Szentendre is my place,Location,Szentendre
I'm in Kushtia,Location,Kushtia
I can spend up to 410,Money,410
I'm looking for Sandwich,Cuisine,Sandwich
My budget is 890,Money,890
I'm in the mood for ອາເມລິກາ,Cuisine,ອາເມລິກາ
I love ແຊນວິດ food,Cuisine,ແຊນວິດ
I'm located in Khammouane,Location,Khammouane
I would like ອາຫານເພື່ອສຸຂະພາບ cuisine,Cuisine,ອາຫານເພື່ອສຸຂະພາບ
I have 516 to spend,Money,516
Nan is my current Nan,Location,Nan
My location is Győr,Location,Győr
I'm ready to spend 691,Money,691
Let's go for Porridge,Cuisine,Porridge
I have 858 to spend,Money,858
I'm looking for Udon,Cuisine,Udon
I'm looking for something within 766,Money,766
Currently in Kampong Speu,Location,Kampong Speu
I'm willing to pay 98,Money,98
I can spend up to 645,Money,645
I want to try အမေရိကန်,Cuisine,အမေရိကန်
My home Sheikhupura is Sheikhupura,Location,Sheikhupura
I want to spend around 290,Money,290
I'm looking for Tea,Cuisine,Tea
My budget is 266,Money,266
I can afford 313,Money,313
I'm looking for something within 517,Money,517
I have around 537 for the meal,Money,537
I have around 235 for the meal,Money,235
I live in Marikina,Location,Marikina
My current Phayao is Phayao,Location,Phayao
Savannakhet is my home,Location,Savannakhet
I'm in the mood for ခေါက်ဆွဲမျိုးစုံ,Cuisine,ခေါက်ဆွဲမျိုးစုံ
I'm located in Budapest,Location,Budapest
I have around 807 for the meal,Money,807
Living in Chiayi City,Location,Chiayi City
Rawalpindi is my location,Location,Rawalpindi
I have around 449 for the meal,Money,449
Kuching is where I live,Location,Kuching
I'm interested in Japán,Cuisine,Japán
I want to spend around 999,Money,999
I'm comfortable spending 152,Money,152
အာရှ is my favorite,Cuisine,အာရှ
I'm craving Sisig,Cuisine,Sisig
I would like အမေရိကန် cuisine,Cuisine,အမေရိကန်
Kulai is where I live,Location,Kulai
I'm in the mood for Mexican,Cuisine,Mexican
I'm looking for Meat,Cuisine,Meat
I have 753 to spend,Money,753
Satkhira is my place,Location,Satkhira
In Bangkok right now,Location,Bangkok
I enjoy Wraps & Rolls,Cuisine,Wraps & Rolls
I'm looking for something within 972,Money,972
